S/N,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
260,Russia,2015,Malware,Healthcare,"63,090,000.00","80,855.00",Nation-state,Zero-day,AI-based Detection,53
261,India,2016,Phishing,Retail,"59,360,000.00","967,614.00",Nation-state,Unpatched Software,AI-based Detection,71
262,Japan,2020,Ransomware,IT,"79,520,000.00","934,400.00",Unknown,Social Engineering,VPN,4
263,Germany,2023,Man in the Middle,Communications,"87,830,000.00","547,719.00",Unknown,Weak Passwords,AI-based Detection,22
264,China,2016,Malware,Healthcare,"96,630,000.00","808,984.00",Unknown,Weak Passwords,Firewall,26
265,Japan,2023,Ransomware,Banking,"52,860,000.00","261,038.00",Nation-state,Social Engineering,Encryption,48
266,China,2024,Phishing,Education,"4,010,000.00","841,054.00",Insider,Zero-day,Antivirus,49
267,China,2019,Ransomware,IT,"68,020,000.00","175,038.00",Hacker Group,Weak Passwords,VPN,67
268,Russia,2022,Phishing,Retail,"67,170,000.00","774,613.00",Hacker Group,Weak Passwords,Encryption,53
269,Japan,2021,Phishing,Healthcare,"37,450,000.00","558,357.00",Hacker Group,Weak Passwords,VPN,49
270,India,2017,Phishing,Retail,"36,780,000.00","620,056.00",Nation-state,Weak Passwords,Firewall,14
271,Russia,2018,Malware,Healthcare,"40,660,000.00","90,640.00",Unknown,Social Engineering,Encryption,56
272,Russia,2022,Ransomware,Retail,"76,930,000.00","449,596.00",Unknown,Unpatched Software,AI-based Detection,3
273,Australia,2020,Ransomware,Healthcare,"58,910,000.00","207,842.00",Nation-state,Social Engineering,Antivirus,40
274,Germany,2017,Phishing,Retail,"93,600,000.00","908,249.00",Nation-state,Zero-day,AI-based Detection,53
275,Japan,2017,Phishing,Healthcare,"47,390,000.00","470,895.00",Nation-state,Social Engineering,Encryption,63
276,France,2017,Malware,Education,"3,210,000.00","342,049.00",Nation-state,Unpatched Software,AI-based Detection,31
277,Brazil,2018,Phishing,Banking,"98,750,000.00","316,891.00",Hacker Group,Social Engineering,Antivirus,55
278,India,2019,Man in the Middle,Education,"27,450,000.00","633,466.00",Unknown,Zero-day,AI-based Detection,16
279,USA,2023,Malware,Communications,"23,980,000.00","123,866.00",Nation-state,Zero-day,Firewall,43
280,France,2017,DDoS,Communications,"79,930,000.00","305,905.00",Unknown,Unpatched Software,Encryption,44
281,Russia,2023,SQL Injection,Communications,"3,660,000.00","702,942.00",Nation-state,Unpatched Software,AI-based Detection,34
282,Brazil,2016,Man in the Middle,Retail,"72,780,000.00","11,339.00",Hacker Group,Social Engineering,AI-based Detection,34
283,UK,2017,SQL Injection,Banking,"73,880,000.00","8,385.00",Nation-state,Social Engineering,AI-based Detection,69
284,Russia,2024,Ransomware,Banking,"52,800,000.00","21,810.00",Insider,Zero-day,VPN,48
285,India,2018,Man in the Middle,Healthcare,"94,600,000.00","7,347.00",Insider,Zero-day,AI-based Detection,7
286,Germany,2021,SQL Injection,Education,"1,620,000.00","61,463.00",Hacker Group,Weak Passwords,Antivirus,58
287,Russia,2020,DDoS,Healthcare,"820,000.00","683,572.00",Insider,Zero-day,Antivirus,69
288,Germany,2015,Malware,Healthcare,"90,910,000.00","654,633.00",Nation-state,Weak Passwords,Antivirus,43
289,Japan,2021,DDoS,Banking,"32,840,000.00","311,274.00",Hacker Group,Zero-day,Encryption,67
290,Russia,2017,Malware,Education,"63,330,000.00","185,208.00",Unknown,Zero-day,Firewall,3
291,Russia,2022,Man in the Middle,Healthcare,"27,820,000.00","182,378.00",Insider,Social Engineering,AI-based Detection,10
292,China,2016,Phishing,IT,"7,730,000.00","800,480.00",Unknown,Zero-day,VPN,31
293,India,2019,DDoS,Banking,"46,980,000.00","147,761.00",Unknown,Unpatched Software,AI-based Detection,68
294,Russia,2024,Ransomware,Banking,"80,110,000.00","923,911.00",Insider,Unpatched Software,Firewall,60
295,Germany,2024,Ransomware,Education,"11,810,000.00","418,893.00",Insider,Social Engineering,Firewall,31
296,Germany,2016,Ransomware,Education,"15,090,000.00","914,593.00",Unknown,Weak Passwords,AI-based Detection,1
297,Japan,2015,SQL Injection,Banking,"20,690,000.00","344,789.00",Unknown,Zero-day,AI-based Detection,69
298,India,2019,DDoS,Communications,"36,860,000.00","116,906.00",Insider,Social Engineering,VPN,7
299,Australia,2019,Phishing,Education,"10,870,000.00","812,343.00",Insider,Social Engineering,Antivirus,16
300,China,2017,Malware,IT,"18,170,000.00","346,390.00",Hacker Group,Weak Passwords,Firewall,36
301,Brazil,2018,Phishing,IT,"13,890,000.00","30,925.00",Insider,Zero-day,Encryption,43
302,UK,2017,DDoS,Government,"15,630,000.00","663,812.00",Nation-state,Zero-day,Antivirus,57
303,Brazil,2020,Man in the Middle,Government,"32,720,000.00","220,978.00",Nation-state,Zero-day,VPN,47
304,UK,2021,DDoS,Banking,"97,030,000.00","100,486.00",Nation-state,Unpatched Software,Firewall,31
305,Russia,2023,SQL Injection,Education,"75,630,000.00","195,733.00",Nation-state,Weak Passwords,Antivirus,70
306,Japan,2023,Man in the Middle,Healthcare,"64,210,000.00","707,978.00",Nation-state,Weak Passwords,VPN,41
307,Brazil,2018,Phishing,Healthcare,"99,140,000.00","456,432.00",Insider,Weak Passwords,Antivirus,66
308,Brazil,2016,Man in the Middle,IT,"75,510,000.00","37,230.00",Unknown,Social Engineering,AI-based Detection,52
309,UK,2015,DDoS,Government,"11,680,000.00","890,414.00",Nation-state,Unpatched Software,AI-based Detection,28
310,France,2021,Malware,IT,"33,840,000.00","440,358.00",Nation-state,Social Engineering,Antivirus,5
311,India,2022,Malware,Healthcare,"38,890,000.00","400,752.00",Insider,Unpatched Software,Antivirus,36
312,France,2018,Phishing,Banking,"89,770,000.00","134,364.00",Nation-state,Zero-day,Antivirus,63
313,Germany,2017,DDoS,Communications,"15,010,000.00","406,483.00",Insider,Weak Passwords,Antivirus,62
314,Brazil,2018,SQL Injection,IT,"98,380,000.00","661,583.00",Insider,Social Engineering,Encryption,30
315,Russia,2015,SQL Injection,Education,"23,490,000.00","642,834.00",Unknown,Weak Passwords,Antivirus,34
316,Brazil,2017,Ransomware,IT,"9,430,000.00","493,087.00",Hacker Group,Unpatched Software,Encryption,44
317,Brazil,2021,Man in the Middle,IT,"97,370,000.00","966,570.00",Nation-state,Weak Passwords,Antivirus,32
318,Russia,2022,Phishing,Communications,"73,260,000.00","687,383.00",Nation-state,Weak Passwords,VPN,8
319,Germany,2020,Phishing,Retail,"78,840,000.00","733,304.00",Unknown,Weak Passwords,VPN,19
320,India,2023,Ransomware,Communications,"3,510,000.00","661,681.00",Hacker Group,Weak Passwords,AI-based Detection,14
321,France,2020,SQL Injection,IT,"25,320,000.00","644,538.00",Unknown,Social Engineering,Antivirus,57
322,Germany,2015,Phishing,Banking,"58,780,000.00","861,637.00",Unknown,Social Engineering,VPN,15
323,Brazil,2016,SQL Injection,Communications,"73,760,000.00","393,189.00",Unknown,Zero-day,Antivirus,37
324,France,2022,SQL Injection,Healthcare,"27,060,000.00","999,545.00",Hacker Group,Social Engineering,Encryption,47
325,UK,2021,SQL Injection,IT,"77,820,000.00","935,572.00",Hacker Group,Social Engineering,Encryption,61
326,France,2016,Ransomware,IT,"55,990,000.00","724,608.00",Hacker Group,Social Engineering,Antivirus,21
327,Brazil,2024,DDoS,Banking,"55,730,000.00","750,979.00",Unknown,Social Engineering,AI-based Detection,30
328,India,2017,Malware,Communications,"7,440,000.00","552,358.00",Nation-state,Weak Passwords,AI-based Detection,42
329,Australia,2019,Phishing,Banking,"37,070,000.00","902,654.00",Insider,Social Engineering,Antivirus,9
330,UK,2022,Ransomware,Healthcare,"75,670,000.00","413,293.00",Hacker Group,Zero-day,Antivirus,27
331,India,2024,Malware,Retail,"56,190,000.00","114,357.00",Insider,Zero-day,AI-based Detection,58
332,USA,2018,Malware,Government,"70,530,000.00","363,432.00",Hacker Group,Zero-day,AI-based Detection,40
333,Japan,2016,SQL Injection,Communications,"63,770,000.00","304,618.00",Unknown,Unpatched Software,Antivirus,54
334,India,2022,SQL Injection,IT,"32,730,000.00","153,154.00",Hacker Group,Zero-day,VPN,37
335,China,2022,Malware,Banking,"21,870,000.00","741,153.00",Insider,Social Engineering,Encryption,66
336,Japan,2024,Man in the Middle,Healthcare,"72,080,000.00","261,230.00",Insider,Social Engineering,VPN,19
337,UK,2023,SQL Injection,Communications,"53,820,000.00","688,014.00",Unknown,Zero-day,Encryption,18
338,Australia,2018,DDoS,Education,"3,300,000.00","45,027.00",Unknown,Social Engineering,Antivirus,68
339,Australia,2021,Malware,Banking,"13,990,000.00","689,681.00",Nation-state,Weak Passwords,AI-based Detection,62
340,Germany,2024,Malware,Government,"93,490,000.00","702,688.00",Hacker Group,Unpatched Software,Antivirus,39
341,China,2016,Man in the Middle,Banking,"97,280,000.00","86,038.00",Insider,Weak Passwords,Encryption,19
342,Japan,2015,Malware,Education,"17,190,000.00","899,381.00",Insider,Unpatched Software,Firewall,66
343,India,2023,Malware,IT,"54,210,000.00","157,667.00",Insider,Weak Passwords,VPN,34
344,UK,2021,Malware,Government,"64,280,000.00","643,714.00",Nation-state,Weak Passwords,VPN,25
345,USA,2023,Ransomware,Education,"71,310,000.00","3,607.00",Insider,Zero-day,AI-based Detection,7
346,UK,2017,Phishing,Banking,"52,310,000.00","259,706.00",Hacker Group,Social Engineering,Antivirus,2
347,India,2021,Man in the Middle,Retail,"40,940,000.00","698,921.00",Insider,Weak Passwords,Firewall,72
348,Brazil,2024,Ransomware,Government,"32,210,000.00","482,574.00",Nation-state,Unpatched Software,Firewall,22
349,France,2017,DDoS,IT,"20,440,000.00","618,269.00",Nation-state,Weak Passwords,VPN,48
350,Russia,2016,Ransomware,Government,"59,660,000.00","854,961.00",Unknown,Unpatched Software,AI-based Detection,7
351,Brazil,2019,SQL Injection,Education,"56,330,000.00","595,157.00",Unknown,Zero-day,Encryption,41
352,France,2016,SQL Injection,Government,"2,240,000.00","813,706.00",Hacker Group,Weak Passwords,VPN,54
353,Brazil,2018,DDoS,Communications,"82,050,000.00","322,527.00",Nation-state,Weak Passwords,Firewall,46
354,China,2024,DDoS,Healthcare,"11,920,000.00","557,016.00",Unknown,Zero-day,Firewall,34
355,UK,2017,DDoS,Healthcare,"54,830,000.00","966,668.00",Hacker Group,Weak Passwords,AI-based Detection,15
356,France,2020,SQL Injection,Retail,"36,170,000.00","813,165.00",Nation-state,Unpatched Software,Antivirus,44
357,France,2018,SQL Injection,Government,"80,060,000.00","400,807.00",Unknown,Weak Passwords,Firewall,67
358,Brazil,2023,Man in the Middle,Retail,"74,850,000.00","549,300.00",Hacker Group,Weak Passwords,Antivirus,26
359,Brazil,2021,Ransomware,Government,"74,010,000.00","956,893.00",Unknown,Social Engineering,Antivirus,49
360,India,2015,SQL Injection,Government,"46,200,000.00","245,370.00",Insider,Social Engineering,AI-based Detection,57
361,Brazil,2017,Malware,IT,"9,590,000.00","912,731.00",Nation-state,Zero-day,Firewall,4
362,USA,2017,Malware,Communications,"81,190,000.00","362,085.00",Insider,Weak Passwords,VPN,5
363,Germany,2022,SQL Injection,Communications,"42,800,000.00","862,664.00",Hacker Group,Zero-day,Firewall,44
364,China,2015,Ransomware,Communications,"32,650,000.00","313,384.00",Insider,Social Engineering,Antivirus,51
365,Russia,2018,Malware,Banking,"17,990,000.00","593,009.00",Unknown,Social Engineering,Firewall,27
366,Germany,2023,SQL Injection,Banking,"30,680,000.00","933,754.00",Insider,Social Engineering,Firewall,36
367,Japan,2015,DDoS,Government,"82,120,000.00","55,055.00",Hacker Group,Unpatched Software,VPN,44
368,France,2020,SQL Injection,Education,"94,630,000.00","481,180.00",Hacker Group,Weak Passwords,AI-based Detection,10
369,Russia,2020,Man in the Middle,Banking,"54,030,000.00","110,260.00",Unknown,Weak Passwords,VPN,66
370,USA,2020,DDoS,Government,"10,540,000.00","741,592.00",Insider,Social Engineering,VPN,69
371,Russia,2020,Phishing,Education,"34,410,000.00","928,026.00",Unknown,Social Engineering,VPN,5
372,Germany,2018,SQL Injection,Education,"84,270,000.00","399,014.00",Nation-state,Zero-day,Firewall,52
373,China,2018,Ransomware,Retail,"35,080,000.00","42,831.00",Hacker Group,Social Engineering,Antivirus,42
374,UK,2018,Man in the Middle,Healthcare,"45,110,000.00","545,613.00",Insider,Unpatched Software,VPN,25
375,Australia,2023,Man in the Middle,Retail,"92,570,000.00","813,789.00",Nation-state,Unpatched Software,Antivirus,27
376,UK,2015,Ransomware,Banking,"13,490,000.00","345,825.00",Hacker Group,Zero-day,AI-based Detection,6
377,UK,2016,Phishing,Education,"8,420,000.00","29,671.00",Insider,Unpatched Software,Encryption,61
378,Australia,2020,Phishing,Government,"92,500,000.00","34,011.00",Insider,Unpatched Software,Firewall,9
379,USA,2018,SQL Injection,Banking,"63,800,000.00","341,383.00",Nation-state,Weak Passwords,Antivirus,9
380,Japan,2020,Ransomware,Banking,"40,860,000.00","565,080.00",Unknown,Zero-day,Encryption,6
381,Germany,2019,Malware,Banking,"79,240,000.00","862,136.00",Hacker Group,Zero-day,VPN,44
382,Japan,2022,Man in the Middle,Retail,"37,150,000.00","241,151.00",Hacker Group,Social Engineering,Antivirus,56
383,India,2024,Man in the Middle,Government,"62,060,000.00","321,158.00",Insider,Zero-day,VPN,37
384,France,2023,Phishing,Education,"31,030,000.00","472,386.00",Nation-state,Zero-day,Encryption,24
385,UK,2015,Man in the Middle,Healthcare,"82,540,000.00","34,240.00",Insider,Weak Passwords,Encryption,45
386,USA,2019,Malware,Government,"34,400,000.00","98,018.00",Insider,Zero-day,VPN,55
387,Japan,2024,Phishing,Education,"72,200,000.00","555,808.00",Unknown,Weak Passwords,AI-based Detection,4
388,UK,2021,SQL Injection,Healthcare,"52,230,000.00","449,333.00",Hacker Group,Unpatched Software,Encryption,39
389,UK,2024,Man in the Middle,Retail,"7,160,000.00","368,618.00",Nation-state,Social Engineering,Firewall,22
390,France,2022,Man in the Middle,IT,"78,230,000.00","310,175.00",Hacker Group,Unpatched Software,AI-based Detection,53
391,UK,2020,Phishing,Retail,"25,100,000.00","986,980.00",Nation-state,Zero-day,VPN,71
392,UK,2024,DDoS,Retail,"88,540,000.00","518,181.00",Insider,Zero-day,Antivirus,24
393,India,2015,Phishing,Retail,"49,510,000.00","72,782.00",Unknown,Zero-day,Encryption,63
394,Russia,2018,DDoS,Communications,"4,080,000.00","502,842.00",Unknown,Zero-day,VPN,15
395,UK,2024,Phishing,Retail,"89,310,000.00","376,586.00",Unknown,Weak Passwords,AI-based Detection,51
396,Germany,2023,Phishing,Government,"88,550,000.00","698,597.00",Unknown,Social Engineering,Antivirus,66
397,Russia,2015,SQL Injection,Education,"5,260,000.00","559,195.00",Insider,Weak Passwords,VPN,52
398,India,2024,Ransomware,Retail,"17,570,000.00","236,253.00",Unknown,Social Engineering,Firewall,38
399,Brazil,2016,DDoS,Healthcare,"8,010,000.00","534,847.00",Nation-state,Zero-day,Firewall,3
400,Australia,2016,Malware,Retail,"39,860,000.00","262,611.00",Unknown,Social Engineering,Antivirus,33
401,Brazil,2021,SQL Injection,Communications,"11,610,000.00","848,702.00",Unknown,Weak Passwords,Antivirus,48
402,Germany,2017,Man in the Middle,Retail,"73,980,000.00","609,952.00",Hacker Group,Unpatched Software,VPN,7
403,Germany,2022,Man in the Middle,IT,"65,860,000.00","978,868.00",Insider,Weak Passwords,AI-based Detection,39
404,Australia,2021,Ransomware,Retail,"41,260,000.00","659,734.00",Insider,Unpatched Software,Antivirus,54
405,Japan,2022,DDoS,Retail,"64,380,000.00","88,354.00",Nation-state,Social Engineering,AI-based Detection,52
406,Brazil,2022,Phishing,Banking,"75,010,000.00","771,434.00",Hacker Group,Social Engineering,AI-based Detection,38
407,Australia,2016,SQL Injection,Banking,"1,730,000.00","91,560.00",Hacker Group,Weak Passwords,AI-based Detection,35
408,UK,2021,Phishing,Healthcare,"1,350,000.00","375,292.00",Unknown,Unpatched Software,Firewall,48
409,Japan,2015,SQL Injection,Retail,"70,880,000.00","43,366.00",Unknown,Weak Passwords,AI-based Detection,43
410,India,2019,Ransomware,Communications,"32,080,000.00","429,224.00",Unknown,Social Engineering,AI-based Detection,56
411,Brazil,2017,Phishing,Healthcare,"68,990,000.00","526,227.00",Hacker Group,Weak Passwords,VPN,62
412,Japan,2024,Man in the Middle,Retail,"9,770,000.00","621,770.00",Insider,Unpatched Software,AI-based Detection,70
413,India,2019,DDoS,Communications,"14,530,000.00","857,688.00",Insider,Zero-day,Antivirus,55
414,Brazil,2024,SQL Injection,Banking,"33,060,000.00","644,841.00",Insider,Weak Passwords,Antivirus,64
415,Russia,2024,Man in the Middle,IT,"67,610,000.00","242,847.00",Unknown,Unpatched Software,VPN,37
416,China,2022,Man in the Middle,IT,"85,300,000.00","155,225.00",Unknown,Weak Passwords,Antivirus,13
417,Japan,2017,Man in the Middle,Banking,"79,680,000.00","712,646.00",Nation-state,Unpatched Software,AI-based Detection,50
418,UK,2022,Phishing,Government,"61,870,000.00","298,941.00",Unknown,Zero-day,Antivirus,13
419,Russia,2018,Man in the Middle,Communications,"4,920,000.00","783,480.00",Insider,Zero-day,AI-based Detection,55
420,Germany,2019,Phishing,Healthcare,"99,970,000.00","950,451.00",Hacker Group,Weak Passwords,AI-based Detection,29
421,China,2018,Malware,Education,"95,420,000.00","917,848.00",Insider,Social Engineering,VPN,30
422,Germany,2016,SQL Injection,Education,"42,980,000.00","194,633.00",Nation-state,Social Engineering,Antivirus,37
423,Australia,2016,Malware,Communications,"68,420,000.00","778,844.00",Unknown,Zero-day,Encryption,65
424,France,2018,SQL Injection,Government,"36,140,000.00","668,774.00",Unknown,Social Engineering,Firewall,61
425,France,2023,SQL Injection,Healthcare,"69,760,000.00","824,351.00",Unknown,Zero-day,Firewall,17
426,UK,2020,Phishing,Healthcare,"3,020,000.00","510,974.00",Unknown,Weak Passwords,Encryption,16
427,Australia,2021,Man in the Middle,Healthcare,"86,290,000.00","404,595.00",Unknown,Social Engineering,AI-based Detection,3
428,Germany,2022,SQL Injection,IT,"6,310,000.00","742,273.00",Hacker Group,Zero-day,AI-based Detection,67
429,China,2016,Phishing,IT,"27,460,000.00","973,388.00",Nation-state,Zero-day,AI-based Detection,63
